,datetime,New York
10956,2014-01-01 00:00:00,271.94
10957,2014-01-01 01:00:00,271.74
10958,2014-01-01 02:00:00,271.39
10959,2014-01-01 03:00:00,270.59
10960,2014-01-01 04:00:00,269.84
10961,2014-01-01 05:00:00,269.27
10962,2014-01-01 06:00:00,268.9
10963,2014-01-01 07:00:00,268.48
10964,2014-01-01 08:00:00,268.33
10965,2014-01-01 09:00:00,268.1
10966,2014-01-01 10:00:00,268.02
10967,2014-01-01 11:00:00,267.9
10968,2014-01-01 12:00:00,267.59
10969,2014-01-01 13:00:00,267.67
10970,2014-01-01 14:00:00,269.0
10971,2014-01-01 15:00:00,270.65
10972,2014-01-01 16:00:00,271.41
10973,2014-01-01 17:00:00,272.22
10974,2014-01-01 18:00:00,272.52
10975,2014-01-01 19:00:00,273.16
10976,2014-01-01 20:00:00,273.32
10977,2014-01-01 21:00:00,273.32
10978,2014-01-01 22:00:00,272.83
10979,2014-01-01 23:00:00,272.58
10980,2014-01-02 00:00:00,272.11
10981,2014-01-02 01:00:00,271.92
10982,2014-01-02 02:00:00,271.87
10983,2014-01-02 03:00:00,278.3315
10984,2014-01-02 04:00:00,284.793
10985,2014-01-02 05:00:00,272.1
10986,2014-01-02 06:00:00,272.135
10987,2014-01-02 07:00:00,272.17
10988,2014-01-02 08:00:00,271.68
10989,2014-01-02 09:00:00,271.63
10990,2014-01-02 10:00:00,270.98
10991,2014-01-02 11:00:00,270.32
10992,2014-01-02 12:00:00,270.18
10993,2014-01-02 13:00:00,269.79
10994,2014-01-02 14:00:00,269.84
10995,2014-01-02 15:00:00,269.62
10996,2014-01-02 16:00:00,269.57
10997,2014-01-02 17:00:00,269.54
10998,2014-01-02 18:00:00,269.57
10999,2014-01-02 19:00:00,269.03
11000,2014-01-02 20:00:00,268.9
11001,2014-01-02 21:00:00,268.58
11002,2014-01-02 22:00:00,268.47
11003,2014-01-02 23:00:00,267.68
11004,2014-01-03 00:00:00,267.515
11005,2014-01-03 01:00:00,267.35
11006,2014-01-03 02:00:00,266.59
11007,2014-01-03 03:00:00,265.77
11008,2014-01-03 04:00:00,264.64
11009,2014-01-03 05:00:00,264.12
11010,2014-01-03 06:00:00,263.39
11011,2014-01-03 07:00:00,262.36
11012,2014-01-03 08:00:00,261.61
11013,2014-01-03 09:00:00,261.57
11014,2014-01-03 10:00:00,261.65
11015,2014-01-03 11:00:00,261.86
11016,2014-01-03 12:00:00,261.71
11017,2014-01-03 13:00:00,261.29
11018,2014-01-03 14:00:00,261.21
11019,2014-01-03 15:00:00,262.59
11020,2014-01-03 16:00:00,263.87
11021,2014-01-03 17:00:00,264.48
11022,2014-01-03 18:00:00,264.81
11023,2014-01-03 19:00:00,264.68
11024,2014-01-03 20:00:00,264.3
11025,2014-01-03 21:00:00,263.57
11026,2014-01-03 22:00:00,262.83
11027,2014-01-03 23:00:00,262.22
11028,2014-01-04 00:00:00,261.49
11029,2014-01-04 01:00:00,261.11
11030,2014-01-04 02:00:00,260.43
11031,2014-01-04 03:00:00,259.919983338
11032,2014-01-04 04:00:00,259.86
11033,2014-01-04 05:00:00,259.53
11034,2014-01-04 06:00:00,258.98
11035,2014-01-04 07:00:00,258.83
11036,2014-01-04 08:00:00,258.36
11037,2014-01-04 09:00:00,258.9
11038,2014-01-04 10:00:00,258.4
11039,2014-01-04 11:00:00,258.33
11040,2014-01-04 12:00:00,258.73
11041,2014-01-04 13:00:00,258.78
11042,2014-01-04 14:00:00,261.42
11043,2014-01-04 15:00:00,263.73
11044,2014-01-04 16:00:00,265.12
11045,2014-01-04 17:00:00,267.13
11046,2014-01-04 18:00:00,268.22
11047,2014-01-04 19:00:00,268.93
11048,2014-01-04 20:00:00,269.25
11049,2014-01-04 21:00:00,269.08
11050,2014-01-04 22:00:00,268.67
11051,2014-01-04 23:00:00,267.14
11052,2014-01-05 00:00:00,267.09
11053,2014-01-05 01:00:00,267.04
11054,2014-01-05 02:00:00,267.27
11055,2014-01-05 03:00:00,266.29
11056,2014-01-05 04:00:00,266.6
11057,2014-01-05 05:00:00,265.7
11058,2014-01-05 06:00:00,263.98
11059,2014-01-05 07:00:00,264.76
11060,2014-01-05 08:00:00,264.69
11061,2014-01-05 09:00:00,264.29
11062,2014-01-05 10:00:00,264.66
11063,2014-01-05 11:00:00,265.03
11064,2014-01-05 12:00:00,264.8
11065,2014-01-05 13:00:00,266.21
11066,2014-01-05 14:00:00,267.76
11067,2014-01-05 15:00:00,269.12
11068,2014-01-05 16:00:00,270.12
11069,2014-01-05 17:00:00,270.65
11070,2014-01-05 18:00:00,271.9
11071,2014-01-05 19:00:00,272.28
11072,2014-01-05 20:00:00,272.86
11073,2014-01-05 21:00:00,273.16
11074,2014-01-05 22:00:00,273.39
11075,2014-01-05 23:00:00,274.13
11076,2014-01-06 00:00:00,274.46
11077,2014-01-06 01:00:00,274.79
11078,2014-01-06 02:00:00,275.15
11079,2014-01-06 03:00:00,275.33
11080,2014-01-06 04:00:00,277.22
11081,2014-01-06 05:00:00,278.21
11082,2014-01-06 06:00:00,279.58
11083,2014-01-06 07:00:00,281.85
11084,2014-01-06 08:00:00,283.21
11085,2014-01-06 09:00:00,283.98
11086,2014-01-06 10:00:00,284.38
11087,2014-01-06 11:00:00,284.59
11088,2014-01-06 12:00:00,284.78
11089,2014-01-06 13:00:00,285.26
11090,2014-01-06 14:00:00,283.49
11091,2014-01-06 15:00:00,281.48
11092,2014-01-06 16:00:00,280.58
11093,2014-01-06 17:00:00,280.22
11094,2014-01-06 18:00:00,278.34
11095,2014-01-06 19:00:00,277.28
11096,2014-01-06 20:00:00,277.08
11097,2014-01-06 21:00:00,277.15
11098,2014-01-06 22:00:00,276.13
11099,2014-01-06 23:00:00,275.07
11100,2014-01-07 00:00:00,274.55
11101,2014-01-07 01:00:00,273.94
11102,2014-01-07 02:00:00,272.22
11103,2014-01-07 03:00:00,271.1
11104,2014-01-07 04:00:00,269.05
11105,2014-01-07 05:00:00,265.83
11106,2014-01-07 06:00:00,262.84
11107,2014-01-07 07:00:00,261.55
11108,2014-01-07 08:00:00,260.67
11109,2014-01-07 09:00:00,259.95
11110,2014-01-07 10:00:00,259.05
11111,2014-01-07 11:00:00,258.26
11112,2014-01-07 12:00:00,257.8
11113,2014-01-07 13:00:00,257.24
11114,2014-01-07 14:00:00,257.74
11115,2014-01-07 15:00:00,258.31
11116,2014-01-07 16:00:00,258.69
11117,2014-01-07 17:00:00,259.44
11118,2014-01-07 18:00:00,260.01
11119,2014-01-07 19:00:00,260.39
11120,2014-01-07 20:00:00,260.66
11121,2014-01-07 21:00:00,260.36
11122,2014-01-07 22:00:00,260.06
11123,2014-01-07 23:00:00,259.78
11124,2014-01-08 00:00:00,259.69
11125,2014-01-08 01:00:00,260.0
11126,2014-01-08 02:00:00,260.3045
11127,2014-01-08 03:00:00,259.84
11128,2014-01-08 04:00:00,259.83
11129,2014-01-08 05:00:00,260.09
11130,2014-01-08 06:00:00,259.9
11131,2014-01-08 07:00:00,259.93
11132,2014-01-08 08:00:00,259.76
11133,2014-01-08 09:00:00,259.77
11134,2014-01-08 10:00:00,259.81
11135,2014-01-08 11:00:00,259.75
11136,2014-01-08 12:00:00,259.81
11137,2014-01-08 13:00:00,259.87
11138,2014-01-08 14:00:00,261.18
11139,2014-01-08 15:00:00,262.38
11140,2014-01-08 16:00:00,263.61
11141,2014-01-08 17:00:00,265.32
11142,2014-01-08 18:00:00,266.39
11143,2014-01-08 19:00:00,266.69
11144,2014-01-08 20:00:00,266.99
11145,2014-01-08 21:00:00,267.1
11146,2014-01-08 22:00:00,266.37
11147,2014-01-08 23:00:00,265.87
11148,2014-01-09 00:00:00,266.05
11149,2014-01-09 01:00:00,266.17
11150,2014-01-09 02:00:00,266.29
11151,2014-01-09 03:00:00,266.39
11152,2014-01-09 04:00:00,266.73
11153,2014-01-09 05:00:00,267.0
11154,2014-01-09 06:00:00,266.99
11155,2014-01-09 07:00:00,267.61
11156,2014-01-09 08:00:00,267.58
11157,2014-01-09 09:00:00,267.23
11158,2014-01-09 10:00:00,267.23
11159,2014-01-09 11:00:00,266.81
11160,2014-01-09 12:00:00,266.56
11161,2014-01-09 13:00:00,265.8
11162,2014-01-09 14:00:00,267.47
11163,2014-01-09 15:00:00,269.0
11164,2014-01-09 16:00:00,270.23
11165,2014-01-09 17:00:00,271.1
11166,2014-01-09 18:00:00,271.94
11167,2014-01-09 19:00:00,272.79
11168,2014-01-09 20:00:00,273.04
11169,2014-01-09 21:00:00,272.58
11170,2014-01-09 22:00:00,271.74
11171,2014-01-09 23:00:00,269.74
11172,2014-01-10 00:00:00,269.44
11173,2014-01-10 01:00:00,269.14
11174,2014-01-10 02:00:00,269.0
11175,2014-01-10 03:00:00,268.93
11176,2014-01-10 04:00:00,268.82
11177,2014-01-10 05:00:00,268.99
11178,2014-01-10 06:00:00,268.95
