,datetime,Count,description,temperature,wind speed,humidity
0,2014-05-01 00:00:00,348,moderate rain,51.05480000000003,4,95.0
1,2014-05-01 01:00:00,179,moderate rain,52.860200000000205,5,94.0
2,2014-05-01 02:00:00,101,moderate rain,52.5272000000002,5,95.0
3,2014-05-01 03:00:00,172,heavy intensity rain,54.50990000000007,5,94.0
4,2014-05-01 04:00:00,241,heavy intensity rain,53.40500000060007,4,94.0
5,2014-05-01 05:00:00,438,heavy intensity rain,54.61579999940007,4,94.0
6,2014-05-01 06:00:00,822,heavy intensity rain,55.24160000000006,4,93.0
7,2014-05-01 07:00:00,1274,heavy intensity rain,56.647400000000076,4,93.0
8,2014-05-01 08:00:00,1237,heavy intensity rain,57.46820000000021,5,92.0
9,2014-05-01 09:00:00,853,heavy intensity rain,57.77149999999999,4,93.0
10,2014-05-01 10:00:00,771,heavy intensity rain,58.76479999940008,4,92.0
11,2014-05-01 11:00:00,662,heavy intensity rain,59.240600000600104,4,92.0
12,2014-05-01 12:00:00,716,heavy intensity rain,60.35630000000006,4,93.0
13,2014-05-01 13:00:00,820,heavy intensity rain,60.618799999400025,3,93.0
14,2014-05-01 14:00:00,1060,heavy intensity rain,61.521200000600096,3,93.0
15,2014-05-01 15:00:00,1348,heavy intensity rain,62.23550000000003,3,94.0
16,2014-05-01 16:00:00,1584,heavy intensity rain,63.20060000060008,2,94.0
17,2014-05-01 17:00:00,1845,heavy intensity rain,63.9775999994,2,95.0
18,2014-05-01 18:00:00,1710,heavy intensity rain,63.376700000000056,2,92.0
19,2014-05-01 19:00:00,1584,heavy intensity rain,64.61299999940002,2,94.0
20,2014-05-01 20:00:00,1546,heavy intensity rain,64.47140000060001,2,92.0
21,2014-05-01 21:00:00,1880,heavy intensity rain,62.07890000000005,2,94.0
22,2014-05-01 22:00:00,1403,heavy intensity rain,62.68760000060004,2,91.0
23,2014-05-01 23:00:00,781,heavy intensity rain,61.045399999400075,2,92.0
24,2014-05-02 00:00:00,357,heavy intensity rain,60.751400000000025,2,91.0
25,2014-05-02 01:00:00,199,heavy intensity rain,58.65980000000006,2,92.0
26,2014-05-02 02:00:00,139,heavy intensity rain,57.916400000000046,2,92.0
27,2014-05-02 03:00:00,183,light rain,57.61040000000001,2,93.0
28,2014-05-02 04:00:00,215,light rain,56.72120000000007,2,92.0
29,2014-05-02 05:00:00,359,light rain,56.269400000000005,2,93.0
30,2014-05-02 06:00:00,806,light rain,55.253299999999996,2,93.0
31,2014-05-02 07:00:00,990,light rain,54.98960000000009,2,93.0
32,2014-05-02 08:00:00,912,light rain,54.16160000000002,2,93.0
33,2014-05-02 09:00:00,657,light rain,54.590900000000005,1,94.0
34,2014-05-02 10:00:00,727,light rain,53.34380000060008,1,94.0
35,2014-05-02 11:00:00,756,light rain,53.35399999940003,1,95.0
36,2014-05-02 12:00:00,790,light rain,56.04350000000003,1,88.0
37,2014-05-02 13:00:00,918,few clouds,55.16060000000003,1,91.0
38,2014-05-02 14:00:00,1169,few clouds,56.95700000000002,1,87.0
39,2014-05-02 15:00:00,1469,scattered clouds,57.3557,2,78.0
40,2014-05-02 16:00:00,1711,sky is clear,59.617999999400055,2,75.0
41,2014-05-02 17:00:00,1877,few clouds,60.4826000006001,3,67.0
42,2014-05-02 18:00:00,2141,few clouds,60.53270000000008,3,68.0
43,2014-05-02 19:00:00,1633,scattered clouds,61.668800000600086,4,58.0
44,2014-05-02 20:00:00,1451,scattered clouds,61.990399999400026,4,56.0
45,2014-05-02 21:00:00,1617,sky is clear,60.2726000000001,3,56.0
46,2014-05-02 22:00:00,1676,scattered clouds,61.27399999939999,4,54.0
47,2014-05-02 23:00:00,1483,few clouds,60.2360000006001,3,54.0
48,2014-05-03 00:00:00,848,few clouds,58.70120000000021,3,53.0
49,2014-05-03 01:00:00,529,sky is clear,57.828799999400005,3,53.0
50,2014-05-03 02:00:00,329,sky is clear,56.459600000600076,3,52.0
51,2014-05-03 03:00:00,238,sky is clear,54.8159,3,56.0
52,2014-05-03 04:00:00,213,sky is clear,53.53820000060009,2,54.0
53,2014-05-03 05:00:00,198,sky is clear,51.98599999940004,2,57.0
54,2014-05-03 06:00:00,232,few clouds,51.14750000000008,2,61.0
55,2014-05-03 07:00:00,307,few clouds,49.357400000000055,1,64.0
56,2014-05-03 08:00:00,407,scattered clouds,48.281000000000034,1,68.0
57,2014-05-03 09:00:00,506,few clouds,52.05740000000006,1,61.0
58,2014-05-03 10:00:00,580,scattered clouds,49.36339999940006,1,68.0
59,2014-05-03 11:00:00,672,scattered clouds,51.52220000060008,1,65.0
60,2014-05-03 12:00:00,708,few clouds,53.752100000000084,1,66.0
61,2014-05-03 13:00:00,826,few clouds,55.8872000006001,1,61.0
62,2014-05-03 14:00:00,968,few clouds,58.09339999939999,1,60.0
63,2014-05-03 15:00:00,1456,few clouds,58.607600000000076,2,56.0
64,2014-05-03 16:00:00,1715,sky is clear,61.37780000000005,2,56.0
65,2014-05-03 17:00:00,1483,sky is clear,62.45600000000003,2,53.0
66,2014-05-03 18:00:00,2249,scattered clouds,61.48130000000006,2,53.0
67,2014-05-03 19:00:00,1581,scattered clouds,63.24380000060009,3,49.0
68,2014-05-03 20:00:00,1410,broken clouds,62.95339999940008,4,48.0
69,2014-05-03 21:00:00,1751,scattered clouds,62.047400000000074,3,50.0
70,2014-05-03 22:00:00,1637,broken clouds,61.962200000600106,4,48.0
71,2014-05-03 23:00:00,1391,broken clouds,61.26139999940008,3,49.0
72,2014-05-04 00:00:00,1152,broken clouds,60.393200000000206,3,52.0
73,2014-05-04 01:00:00,641,scattered clouds,59.74820000060007,3,52.0
74,2014-05-04 02:00:00,418,scattered clouds,58.935799999400025,3,55.0
75,2014-05-04 03:00:00,315,few clouds,58.55720000000004,3,54.0
76,2014-05-04 04:00:00,245,scattered clouds,57.60019999939999,3,58.0
77,2014-05-04 05:00:00,178,few clouds,57.07700000060011,3,58.0
78,2014-05-04 06:00:00,163,few clouds,56.51510000000003,3,60.0
