Hour,Count
9/1/2014 0,699
9/1/2014 1,490
9/1/2014 2,363
9/1/2014 3,333
9/1/2014 4,261
9/1/2014 5,283
9/1/2014 6,330
9/1/2014 7,427
9/1/2014 8,560
9/1/2014 9,765
9/1/2014 10,874
9/1/2014 11,988
9/1/2014 12,1021
9/1/2014 13,1125
9/1/2014 14,1222
9/1/2014 15,1345
9/1/2014 16,1473
9/1/2014 17,1341
9/1/2014 18,1248
9/1/2014 19,1251
9/1/2014 20,1181
9/1/2014 21,1055
9/1/2014 22,818
9/1/2014 23,508
9/2/2014 0,209
9/2/2014 1,111
9/2/2014 2,84
9/2/2014 3,293
9/2/2014 4,518
9/2/2014 5,858
9/2/2014 6,1271
9/2/2014 7,1596
9/2/2014 8,1728
9/2/2014 9,1256
9/2/2014 10,1162
9/2/2014 11,1138
9/2/2014 12,1188
9/2/2014 13,1288
9/2/2014 14,1401
9/2/2014 15,1719
9/2/2014 16,2046
9/2/2014 17,2146
9/2/2014 18,1960
9/2/2014 19,1765
9/2/2014 20,1758
9/2/2014 21,1515
9/2/2014 22,1122
9/2/2014 23,699
9/3/2014 0,284
9/3/2014 1,151
9/3/2014 2,116
9/3/2014 3,204
9/3/2014 4,356
9/3/2014 5,760
9/3/2014 6,1383
9/3/2014 7,1676
9/3/2014 8,1669
9/3/2014 9,1394
9/3/2014 10,1232
9/3/2014 11,1182
9/3/2014 12,1205
9/3/2014 13,1376
9/3/2014 14,1626
9/3/2014 15,2035
9/3/2014 16,2336
9/3/2014 17,2458
9/3/2014 18,2376
9/3/2014 19,2189
9/3/2014 20,2208
9/3/2014 21,1917
9/3/2014 22,1574
9/3/2014 23,924
9/4/2014 0,492
9/4/2014 1,266
9/4/2014 2,180
9/4/2014 3,247
9/4/2014 4,384
9/4/2014 5,760
9/4/2014 6,1368
9/4/2014 7,1753
9/4/2014 8,1801
9/4/2014 9,1455
9/4/2014 10,1384
9/4/2014 11,1399
9/4/2014 12,1422
9/4/2014 13,1552
9/4/2014 14,1874
9/4/2014 15,2346
9/4/2014 16,2493
9/4/2014 17,2735
9/4/2014 18,3087
9/4/2014 19,2808
9/4/2014 20,2617
9/4/2014 21,2446
9/4/2014 22,2074
9/4/2014 23,1417
9/5/2014 0,651
9/5/2014 1,362
9/5/2014 2,233
9/5/2014 3,303
9/5/2014 4,468
9/5/2014 5,827
9/5/2014 6,1333
9/5/2014 7,1707
9/5/2014 8,1859
9/5/2014 9,1609
9/5/2014 10,1485
9/5/2014 11,1432
9/5/2014 12,1445
9/5/2014 13,1713
9/5/2014 14,2057
9/5/2014 15,2323
9/5/2014 16,2655
9/5/2014 17,2961
9/5/2014 18,3151
9/5/2014 19,3157
9/5/2014 20,2738
9/5/2014 21,2793
9/5/2014 22,2763
9/5/2014 23,2294
9/6/2014 0,1706
9/6/2014 1,1122
9/6/2014 2,706
9/6/2014 3,476
9/6/2014 4,348
9/6/2014 5,340
9/6/2014 6,526
9/6/2014 7,710
9/6/2014 8,953
9/6/2014 9,1085
9/6/2014 10,1286
9/6/2014 11,1475
9/6/2014 12,1600
9/6/2014 13,1871
9/6/2014 14,2133
9/6/2014 15,2414
9/6/2014 16,2579
9/6/2014 17,2776
9/6/2014 18,2854
9/6/2014 19,2742
9/6/2014 20,2422
9/6/2014 21,2713
9/6/2014 22,3034
9/6/2014 23,2649
9/7/2014 0,1830
9/7/2014 1,1237
9/7/2014 2,823
9/7/2014 3,566
9/7/2014 4,334
9/7/2014 5,358
9/7/2014 6,387
9/7/2014 7,564
9/7/2014 8,813
9/7/2014 9,1024
9/7/2014 10,1227
9/7/2014 11,1397
9/7/2014 12,1485
9/7/2014 13,1639
9/7/2014 14,1811
9/7/2014 15,1988
9/7/2014 16,2147
9/7/2014 17,2036
9/7/2014 18,1909
9/7/2014 19,1708
9/7/2014 20,1616
9/7/2014 21,1444
9/7/2014 22,1162
9/7/2014 23,629
9/8/2014 0,323
9/8/2014 1,201
9/8/2014 2,157
9/8/2014 3,369
9/8/2014 4,515
9/8/2014 5,910
9/8/2014 6,1222
9/8/2014 7,1673
9/8/2014 8,1725
9/8/2014 9,1288
9/8/2014 10,1204
9/8/2014 11,1211
9/8/2014 12,1190
9/8/2014 13,1345
9/8/2014 14,1577
9/8/2014 15,1895
9/8/2014 16,2092
9/8/2014 17,2254
9/8/2014 18,2221
9/8/2014 19,1971
9/8/2014 20,1823
9/8/2014 21,1487
9/8/2014 22,1117
9/8/2014 23,590
9/9/2014 0,312
9/9/2014 1,194
9/9/2014 2,146
9/9/2014 3,242
9/9/2014 4,407
9/9/2014 5,826
9/9/2014 6,1443
9/9/2014 7,1778
9/9/2014 8,1785
9/9/2014 9,1330
9/9/2014 10,1293
9/9/2014 11,1294
9/9/2014 12,1319
9/9/2014 13,1639
9/9/2014 14,2028
9/9/2014 15,2234
9/9/2014 16,2237
9/9/2014 17,2616
9/9/2014 18,2682
9/9/2014 19,2379
9/9/2014 20,2181
9/9/2014 21,1908
9/9/2014 22,1427
9/9/2014 23,860
9/10/2014 0,429
9/10/2014 1,310
9/10/2014 2,180
9/10/2014 3,238
9/10/2014 4,396
9/10/2014 5,792
9/10/2014 6,1353
9/10/2014 7,1687
9/10/2014 8,1785
9/10/2014 9,1434
9/10/2014 10,1286
9/10/2014 11,1408
9/10/2014 12,1372
9/10/2014 13,1551
9/10/2014 14,1814
9/10/2014 15,2218
9/10/2014 16,2469
9/10/2014 17,2784
9/10/2014 18,2839
9/10/2014 19,2567
9/10/2014 20,2416
9/10/2014 21,2050
9/10/2014 22,1638
9/10/2014 23,894
9/11/2014 0,480
9/11/2014 1,296
9/11/2014 2,185
9/11/2014 3,279
9/11/2014 4,445
9/11/2014 5,326
9/11/2014 6,1042
9/11/2014 7,1563
9/11/2014 8,1742
9/11/2014 9,1408
9/11/2014 10,1251
9/11/2014 11,1332
9/11/2014 12,1331
9/11/2014 13,1577
9/11/2014 14,1903
9/11/2014 15,2200
9/11/2014 16,2596
9/11/2014 17,2852
9/11/2014 18,2908
9/11/2014 19,2724
9/11/2014 20,2537
9/11/2014 21,2430
9/11/2014 22,1812
9/11/2014 23,1220
9/12/2014 0,600
9/12/2014 1,390
9/12/2014 2,262
9/12/2014 3,330
9/12/2014 4,478
9/12/2014 5,820
9/12/2014 6,1287
9/12/2014 7,1667
9/12/2014 8,1746
9/12/2014 9,1394
9/12/2014 10,1358
9/12/2014 11,1284
9/12/2014 12,1321
9/12/2014 13,1545
9/12/2014 14,1717
9/12/2014 15,2068
9/12/2014 16,2328
9/12/2014 17,2692
9/12/2014 18,2915
9/12/2014 19,2890
9/12/2014 20,2542
9/12/2014 21,2710
9/12/2014 22,2778
9/12/2014 23,2418
9/13/2014 0,1816
9/13/2014 1,1219
