,datetime,New York
10956,2014-01-01 00:00:00,few clouds
10957,2014-01-01 01:00:00,sky is clear
10958,2014-01-01 02:00:00,sky is clear
10959,2014-01-01 03:00:00,sky is clear
10960,2014-01-01 04:00:00,sky is clear
10961,2014-01-01 05:00:00,sky is clear
10962,2014-01-01 06:00:00,sky is clear
10963,2014-01-01 07:00:00,sky is clear
10964,2014-01-01 08:00:00,sky is clear
10965,2014-01-01 09:00:00,sky is clear
10966,2014-01-01 10:00:00,sky is clear
10967,2014-01-01 11:00:00,sky is clear
10968,2014-01-01 12:00:00,sky is clear
10969,2014-01-01 13:00:00,sky is clear
10970,2014-01-01 14:00:00,sky is clear
10971,2014-01-01 15:00:00,sky is clear
10972,2014-01-01 16:00:00,sky is clear
10973,2014-01-01 17:00:00,sky is clear
10974,2014-01-01 18:00:00,sky is clear
10975,2014-01-01 19:00:00,sky is clear
10976,2014-01-01 20:00:00,sky is clear
10977,2014-01-01 21:00:00,sky is clear
10978,2014-01-01 22:00:00,sky is clear
10979,2014-01-01 23:00:00,sky is clear
10980,2014-01-02 00:00:00,sky is clear
10981,2014-01-02 01:00:00,sky is clear
10982,2014-01-02 02:00:00,sky is clear
10983,2014-01-02 03:00:00,sky is clear
10984,2014-01-02 04:00:00,sky is clear
10985,2014-01-02 05:00:00,sky is clear
10986,2014-01-02 06:00:00,sky is clear
10987,2014-01-02 07:00:00,sky is clear
10988,2014-01-02 08:00:00,sky is clear
10989,2014-01-02 09:00:00,sky is clear
10990,2014-01-02 10:00:00,light snow
10991,2014-01-02 11:00:00,light snow
10992,2014-01-02 12:00:00,sky is clear
10993,2014-01-02 13:00:00,sky is clear
10994,2014-01-02 14:00:00,sky is clear
10995,2014-01-02 15:00:00,sky is clear
10996,2014-01-02 16:00:00,sky is clear
10997,2014-01-02 17:00:00,sky is clear
10998,2014-01-02 18:00:00,sky is clear
10999,2014-01-02 19:00:00,sky is clear
11000,2014-01-02 20:00:00,haze
11001,2014-01-02 21:00:00,sky is clear
11002,2014-01-02 22:00:00,sky is clear
11003,2014-01-02 23:00:00,mist
11004,2014-01-03 00:00:00,light rain
11005,2014-01-03 01:00:00,fog
11006,2014-01-03 02:00:00,mist
11007,2014-01-03 03:00:00,mist
